ABCB1	NM_000927,NM_001348944,NM_001348945,NM_001348946
ABCB10	NM_012089
ABCD2	NM_005164
ACTN1	NM_001102,NM_001130004,NM_001130005
ACTN1-AS1	NR_073422
ADD3	NM_001121,NM_001320591,NM_001320592,NM_001320593,NM_001320594,NM_016824,NM_019903
ADD3-AS1	NR_038943
ADGRG1	NM_001145770,NM_001145771,NM_001145772,NM_001145773,NM_001145774,NM_001290142,NM_001290143,NM_001290144,NM_005682,NM_201524,NM_201525
ADPRM	NM_020233
ADTRP	NM_001143948,NM_032744
AHNAK	NM_001346445,NM_001346446,NM_001620,NM_024060
AIF1	NM_001318970,NM_001623,NM_032955
ALOX5AP	NM_001204406,NM_001629
ANKRD55	NM_024669
ANXA1	NM_000700
ANXA11	NM_001157,NM_001278407,NM_001278408,NM_001278409,NM_145868,NM_145869
ANXA2	NM_001002857,NM_001002858,NM_001136015,NM_004039
ANXA2R	NM_001014279
AP3M1	NM_001320263,NM_001320264,NM_001320265,NM_012095,NM_207012,NR_135191
APEX1	NM_001244249,NM_001641,NM_080648,NM_080649
APMAP	NM_020531
APOBEC3C	NM_014508
APOBEC3G	NM_001349436,NM_001349437,NM_001349438,NM_021822,NR_146179
APOBEC3H	NM_001166002,NM_001166003,NM_001166004,NM_181773
AQP4-AS1	NR_026908
ARID2	NM_001347839,NM_152641
ARID5B	NM_001244638,NM_032199
ARL4C	NM_001282431,NM_005737
ARMC9	NM_001271466,NM_001291656,NM_001352754,NM_001352755,NM_001352756,NM_001352757,NM_001352758,NM_001352759,NM_025139,NR_148040
ATP2B4	NM_001001396,NM_001684
ATXN1	NM_000332,NM_001128164,NM_001357857,NR_152111,NR_152112,NR_152113,NR_152114
ATXN10	NM_001167621,NM_013236
ATXN1L	NM_001137675
ATXN2	NM_001310121,NM_001310123,NM_002973,NR_132311
ATXN2-AS	NR_146497
ATXN2L	NM_001308230,NM_007245,NM_017492,NM_145714,NM_148414,NM_148415,NM_148416
ATXN3	NM_001127696,NM_001127697,NM_001164774,NM_001164776,NM_001164777,NM_001164778,NM_001164779,NM_001164780,NM_001164781,NM_001164782,NM_004993,NM_030660,NR_028453,NR_028454,NR_028455,NR_028456,NR_028457,NR_028458,NR_028459,NR_028460,NR_028461,NR_028462,NR_028463,NR_028464,NR_028465,NR_028466,NR_028467,NR_028468,NR_028469,NR_028470,NR_031765
ATXN7	NM_000333,NM_001128149,NM_001177387
ATXN7L1	NM_001318229,NM_020725,NM_138495,NM_152749
ATXN7L2	NM_001350174,NM_001350175,NM_001350177,NM_153340
ATXN7L3	NM_001098833,NM_020218
ATXN7L3B	NM_001136262
BBIP1	NM_001195304,NM_001195305,NM_001195306,NM_001195307,NM_001243783
BCL11B	NM_001282237,NM_001282238,NM_022898,NM_138576
BEX3	NM_001282674,NM_014380,NM_206915,NM_206917
BICD2	NM_001003800,NM_015250
BIRC3	NM_001165,NM_182962
BNIP3L	NM_001330491,NM_004331
C12orf57	NM_001301834,NM_001301836,NM_001301837,NM_001301838,NM_138425,NR_126035
C12orf75	NM_001145199
C1GALT1C1	NM_001011551,NM_152692
C1orf162	NM_001300834,NM_001300835,NM_174896
C1orf229	NM_207401
C2CD2	NM_015500,NM_199050
C2CD2L	NM_001290474,NM_014807
C3orf33	NM_001308229,NM_173657
CA5B	NM_007220
CA6	NM_001215,NM_001270500,NM_001270501,NM_001270502
CAMK4	NM_001323374,NM_001323375,NM_001323376,NM_001323377,NM_001744
CAPZA1	NM_006135
CARS	NM_001014437,NM_001194997,NM_001751,NM_139273,NR_036542
CARS-AS1	NR_046580
CARS2	NM_001352252,NM_001352253,NM_024537,NR_147941,NR_147942
CASP1	NM_001223,NM_001257118,NM_001257119,NM_033292,NM_033293,NM_033294,NM_033295
CASP10	NM_001206524,NM_001206542,NM_001230,NM_001306083,NM_032974,NM_032976,NM_032977
CASP17P	NR_034078,NR_034079
CCDC167	NM_138493
CCL4	NM_002984
CCL5	NM_001278736,NM_002985
CCNG1	NM_001364015,NM_001364018,NM_001364019,NM_001364020,NM_001364021,NM_001364022,NM_001364023,NM_004060,NM_199246,NR_157051,NR_157052,NR_157053,NR_157054,NR_157055,NR_157056
CCR5	NM_000579,NM_001100168
CCR7	NM_001301714,NM_001301716,NM_001301717,NM_001301718,NM_001838
CCT3	NM_001008800,NM_005998,NR_036564,NR_036565
CD160	NM_007053,NR_103845
CD2	NM_001328609,NM_001767
CD200R1	NM_138806,NM_138939,NM_138940,NM_170780
CD209	NM_001144893,NM_001144894,NM_001144895,NM_001144896,NM_001144897,NM_001144899,NM_021155,NR_026692
CD226	NM_001303618,NM_001303619,NM_006566
CD24	NM_001291737,NM_001291738,NM_001291739,NM_001359084,NM_013230,NR_117089,NR_117090
CD244	NM_001166663,NM_001166664,NM_016382
CD247	NM_000734,NM_198053
CD27	NM_001242
CD27-AS1	NR_015382
CD274	NM_001267706,NM_001314029,NM_014143,NR_052005
CD28	NM_001243077,NM_001243078,NM_006139
CD2AP	NM_012120
CD2BP2	NM_001243646,NM_006110
CD300A	NM_001256841,NM_001330456,NM_001330457,NM_007261
CD4	NM_000616,NM_001195014,NM_001195015,NM_001195016,NM_001195017
CD40	NM_001250,NM_001302753,NM_001322421,NM_001322422,NM_001362758,NM_152854,NR_126502,NR_136327
CD40LG	NM_000074
CD44	NM_000610,NM_001001389,NM_001001390,NM_001001391,NM_001001392,NM_001202555,NM_001202556,NM_001202557
CD46	NM_002389,NM_153826,NM_172350,NM_172351,NM_172352,NM_172353,NM_172355,NM_172356,NM_172357,NM_172358,NM_172359,NM_172361
CD47	NM_001777,NM_198793
CD48	NM_001256030,NM_001778
CD53	NM_000560,NM_001040033,NM_001320638
CD63	NM_001257389,NM_001257390,NM_001257391,NM_001257392,NM_001257400,NM_001257401,NM_001267698,NM_001780
CD69	NM_001781
CD74	NM_001025158,NM_001025159,NM_001364083,NM_001364084,NM_004355,NR_157074
CD8A	NM_001145873,NM_001768,NM_171827,NR_027353
CD8B	NM_001178100,NM_004931,NM_172101,NM_172102,NM_172213
CEP41	NM_001257158,NM_001257159,NM_001257160,NM_018718,NR_046443
CES1	NM_001025194,NM_001025195,NM_001266
CHMP7	NM_001317899,NM_001363183,NM_152272
CLDND1	NM_001040181,NM_001040182,NM_001040183,NM_001040199,NM_001040200,NM_019895
CLEC2B	NM_005127
CLIC1	NM_001287593,NM_001287594,NM_001288
CLIC3	NM_004669
CLTB	NM_001364126,NM_001364127,NM_001834,NM_007097,NR_045724,NR_157088
CNOT2	NM_001199302,NM_001199303,NM_014515,NR_037615
COX17	NM_005694
CPA5	NM_001127441,NM_001127442,NM_001318223,NM_080385
CRIP1	NM_001311
CRTAM	NM_001304782,NM_019604
CST7	NM_003650
CTSC	NM_001114173,NM_001814,NM_148170
CTSW	NM_001335
CX3CR1	NM_001171171,NM_001171172,NM_001171174,NM_001337
CXCR3	NM_001142797,NM_001504
CXCR4	NM_001008540,NM_001348056,NM_001348059,NM_001348060,NM_003467
CXCR6	NM_006564
CYBA	NM_000101
CYCS	NM_018947
CYSLTR1	NM_001282186,NM_001282187,NM_001282188,NM_006639
DAP3	NM_001199849,NM_001199850,NM_001199851,NM_004632,NM_033657
DGKA	NM_001345,NM_001351033,NM_001351034,NM_001351035,NM_001351036,NM_001351037,NM_001351038,NM_001351039,NM_001351040,NM_201444,NM_201445,NM_201554,NR_147026,NR_147027
DHRS7	NM_001322280,NM_001322281,NM_001322282,NM_016029
DHRS7B	NM_001330159,NM_015510
DUSP2	NM_004418
DUSP22	NM_001286555,NM_020185,NR_104473,NR_104474,NR_104475
DUSP23	NM_001319658,NM_001319659,NM_017823
DUSP28	NM_001033575
DYNLL1	NM_001037494,NM_001037495,NM_003746
EID2	NM_153232
EID2B	NM_152361
EIF3E	NM_001568
EMP3	NM_001313905,NM_001425
EPHA1-AS1	NR_033897
EPHX2	NM_001256482,NM_001256483,NM_001256484,NM_001979
ERCC6L2	NM_001010895,NM_020207
FAM129A	NM_052966
FAM32A	NM_014077
FANCD2	NM_001018115,NM_001319984,NM_033084
FBXO32	NM_001242463,NM_058229,NM_148177
FCER1G	NM_004106
FCGR3A	NM_000569,NM_001127592,NM_001127593,NM_001127595,NM_001127596,NM_001329120,NM_001329122
FCRL3	NM_001320333,NM_052939,NR_135214,NR_135215,NR_135216,NR_135217
FCRL6	NM_001004310,NM_001284217
FGFBP2	NM_031950
FGR	NM_001042729,NM_001042747,NM_005248
FHIT	NM_001166243,NM_001320899,NM_001320900,NM_001320901,NM_001354589,NM_001354590,NM_002012,NR_135491,NR_148921,NR_148922
FKBP11	NM_001143781,NM_001143782,NM_016594
FKBP2	NM_001135208,NM_004470,NM_057092
FOXK1	NM_001037165
FOXP1	NM_001012505,NM_001244808,NM_001244810,NM_001244812,NM_001244813,NM_001244814,NM_001244815,NM_001244816,NM_001349337,NM_001349338,NM_001349340,NM_001349341,NM_001349342,NM_001349343,NM_001349344,NM_032682,NR_146142,NR_146143
FOXP1-AS1	NR_126463
FYB1	NM_001243093,NM_001349333,NM_001465,NM_018594,NM_199335
FYN	NM_002037,NM_153047,NM_153048
GAS5	NR_002578,NR_152521,NR_152522,NR_152523,NR_152524,NR_152525,NR_152526,NR_152527,NR_152528,NR_152529,NR_152530,NR_152531,NR_152532,NR_152533,NR_152534
GAS5-AS1	NR_037605
GBP5	NM_001134486,NM_052942
GDPD1	NM_001165993,NM_001165994,NM_182569
GLUL	NM_001033044,NM_001033056,NM_002065
GNAI2	NM_001166425,NM_001282617,NM_001282618,NM_001282619,NM_001282620,NM_002070
GNG2	NM_001243773,NM_001243774,NM_053064
GNLY	NM_001302758,NM_006433,NM_012483
GPR171	NM_013308
GPR183	NM_004951
GPR65	NM_003608
GSTP1	NM_000852
GYG1	NM_001184720,NM_001184721,NM_004130
GZMA	NM_006144
GZMB	NM_001346011,NM_004131,NR_144343
GZMH	NM_001270780,NM_001270781,NM_033423
GZMK	NM_002104
HACD2	NM_001329783,NM_001329784,NM_001329786,NM_001329787,NM_198402
HACD4	NM_001010915,NM_001321883,NM_001321903
HCST	NM_001007469,NM_014266
HLA-DOA	NM_002119
HLA-DPA1	NM_001242524,NM_001242525,NM_033554
HLA-DRA	NM_019111
HOOK3	NM_032410
HOPX	NM_001145459,NM_001145460,NM_032495,NM_139211,NM_139212
HSP90B1	NM_003299
HSPB1	NM_001540
HSPB11	NM_001316935,NM_016126,NR_133632,NR_133633
ID2	NM_002166
ID2-AS1	NR_110153,NR_110154
IDI1	NM_001317955,NM_001317956,NM_001317957,NM_004508,NR_134300,NR_134301
IER2	NM_004907
IL10RA	NM_001558,NR_026691
IL18RAP	NM_003853
IL2RB	NM_000878,NM_001346222,NM_001346223
IL32	NM_001012631,NM_001012632,NM_001012633,NM_001012634,NM_001012635,NM_001012636,NM_001012718,NM_001308078,NM_004221
IL6ST	NM_001190981,NM_001364275,NM_001364276,NM_001364277,NM_001364278,NM_001364279,NM_002184,NM_175767,NR_120480,NR_157112
IMPDH2	NM_000884
INAVA	NM_001142569,NM_018265
INE2	NR_002725
IQGAP1	NM_003870
IQGAP2	NM_001285460,NM_001285461,NM_001285462,NM_006633
ISG20L2	NM_001303095
ITGAL	NM_001114380,NM_002209
ITGB1	NM_002211,NM_033668,NM_133376
ITGB1BP1	NM_001319066,NM_001319067,NM_001319068,NM_001319069,NM_001319070,NM_004763,NM_022334,NR_134951,NR_134952,NR_134953,NR_134954,NR_134955,NR_134956,NR_134957
ITGB1BP2	NM_001303277,NM_012278
ITK	NM_005546
ITPRIPL2	NM_001034841,NR_028028
JARID2	NM_001267040,NM_004973
JARID2-AS1	NR_120502
KIN	NM_012311,NR_045609
KLF6	NM_001160124,NM_001160125,NM_001300,NR_027653
KLF7	NM_001270942,NM_001270943,NM_001270944,NM_003709,NR_073108
KLRB1	NM_002258
KLRC1	NM_001304448,NM_002259,NM_007328,NM_213657,NM_213658
KLRC3	NM_002261,NM_007333
KLRD1	NM_001114396,NM_001351060,NM_001351062,NM_001351063,NM_002262,NM_007334,NR_147038,NR_147039,NR_147040
KLRF1	NM_001291822,NM_001291823,NM_016523,NR_120305
KLRG1	NM_001329099,NM_001329101,NM_001329102,NM_001329103,NM_005810,NR_137426,NR_137427,NR_137428
KMT2A	NM_001197104,NM_005933
LCP1	NM_002298
LDHB	NM_001174097,NM_001315537,NM_002300
LDLRAP1	NM_015627
LEF1	NM_001130713,NM_001130714,NM_001166119,NM_016269
LEF1-AS1	NR_029373,NR_029374
LEPROTL1	NM_001128208,NM_015344
LGALS1	NM_002305
